true_class,predicted_class,predicted_probability
CLEAR,CLEAR,0.59082115
CLEAR,CLEAR,0.5043207
CLEAR,CLEAR,0.53902346
FLOODED,FLOODED,0.5412751
CLEAR,CLEAR,0.541766
FLOODED,FLOODED,0.50019306
CLEAR,FLOODED,0.5297723
FLOODED,CLEAR,0.59200853
CLEAR,FLOODED,0.52328914
FLOODED,CLEAR,0.5889358
CLEAR,CLEAR,0.55712426
CLEAR,CLEAR,0.55595136
FLOODED,FLOODED,0.509081
CLEAR,CLEAR,0.5004796
CLEAR,CLEAR,0.5616997
CLEAR,CLEAR,0.5752068
CLEAR,CLEAR,0.50592476
CLEAR,FLOODED,0.5477852
CLEAR,CLEAR,0.56981885
CLEAR,CLEAR,0.57613367
FLOODED,CLEAR,0.5408837
CLEAR,FLOODED,0.539523
CLEAR,CLEAR,0.55255425
CLEAR,FLOODED,0.6014554
CLEAR,CLEAR,0.5026402
CLEAR,CLEAR,0.5107572
CLEAR,CLEAR,0.534916
FLOODED,CLEAR,0.50497156
CLEAR,CLEAR,0.52694094
CLEAR,FLOODED,0.5253441
CLEAR,FLOODED,0.5439106
CLEAR,CLEAR,0.515601
CLEAR,FLOODED,0.6544589
CLEAR,CLEAR,0.52372015
CLEAR,CLEAR,0.5227885
FLOODED,CLEAR,0.51261604
CLEAR,CLEAR,0.5147625
CLEAR,FLOODED,0.5343623
CLEAR,CLEAR,0.5797623
CLEAR,CLEAR,0.5339195
CLEAR,CLEAR,0.5818511
FLOODED,FLOODED,0.51529086
CLEAR,CLEAR,0.5622236
FLOODED,CLEAR,0.55482775
CLEAR,CLEAR,0.5886287
FLOODED,CLEAR,0.5379576
CLEAR,FLOODED,0.5257747
FLOODED,CLEAR,0.5597247
FLOODED,FLOODED,0.5031082
CLEAR,FLOODED,0.5217818
CLEAR,FLOODED,0.5468488
CLEAR,CLEAR,0.50231004
CLEAR,CLEAR,0.5062149
CLEAR,CLEAR,0.5281923
CLEAR,CLEAR,0.5299095
CLEAR,FLOODED,0.5183405
CLEAR,CLEAR,0.54654557
CLEAR,CLEAR,0.50439405
FLOODED,CLEAR,0.5948457
CLEAR,CLEAR,0.5450964
CLEAR,CLEAR,0.54013103
CLEAR,CLEAR,0.5678409
CLEAR,FLOODED,0.5087057
CLEAR,FLOODED,0.5349809
CLEAR,CLEAR,0.52770996
CLEAR,FLOODED,0.5854757
CLEAR,CLEAR,0.5794139
CLEAR,CLEAR,0.56352013
CLEAR,CLEAR,0.5759078
CLEAR,FLOODED,0.61000794
CLEAR,FLOODED,0.52093583
CLEAR,CLEAR,0.50787055
CLEAR,CLEAR,0.5487944
FLOODED,CLEAR,0.54577655
FLOODED,CLEAR,0.50191146
CLEAR,CLEAR,0.6257647
CLEAR,FLOODED,0.58986086
FLOODED,CLEAR,0.5378093
CLEAR,CLEAR,0.5499224
CLEAR,FLOODED,0.5352786
CLEAR,CLEAR,0.55262583
CLEAR,CLEAR,0.5366097
CLEAR,CLEAR,0.54652345
CLEAR,CLEAR,0.5271187
CLEAR,FLOODED,0.5419493
CLEAR,CLEAR,0.5344091
CLEAR,CLEAR,0.5494027
CLEAR,FLOODED,0.52925783
CLEAR,FLOODED,0.5018189
CLEAR,CLEAR,0.51713955
CLEAR,CLEAR,0.5210486
FLOODED,CLEAR,0.5623339
CLEAR,FLOODED,0.51724684
CLEAR,CLEAR,0.56562227
CLEAR,CLEAR,0.5034409
CLEAR,CLEAR,0.54783297
FLOODED,FLOODED,0.5300503
FLOODED,CLEAR,0.5761688
CLEAR,FLOODED,0.5922587
CLEAR,FLOODED,0.5283968
FLOODED,FLOODED,0.6968996
CLEAR,FLOODED,0.53835624
CLEAR,FLOODED,0.54606324
CLEAR,CLEAR,0.528539
CLEAR,CLEAR,0.50172114
CLEAR,CLEAR,0.5425142
CLEAR,FLOODED,0.6358533
CLEAR,FLOODED,0.5426173
CLEAR,CLEAR,0.5963418
CLEAR,FLOODED,0.54109365
CLEAR,FLOODED,0.53230906
CLEAR,CLEAR,0.5309216
CLEAR,CLEAR,0.52462506
CLEAR,CLEAR,0.68196404
FLOODED,CLEAR,0.5513296
CLEAR,FLOODED,0.5371948
CLEAR,FLOODED,0.5137619
CLEAR,CLEAR,0.55025035
CLEAR,CLEAR,0.57991546
CLEAR,CLEAR,0.5308594
CLEAR,CLEAR,0.51508266
FLOODED,CLEAR,0.59109926
CLEAR,CLEAR,0.6097651
FLOODED,CLEAR,0.53681916
FLOODED,CLEAR,0.56810945
CLEAR,CLEAR,0.5080726
CLEAR,CLEAR,0.56632274
CLEAR,FLOODED,0.53437334
CLEAR,FLOODED,0.7978007
CLEAR,CLEAR,0.5007906
CLEAR,FLOODED,0.50624317
CLEAR,FLOODED,0.5306726
CLEAR,CLEAR,0.53109896
CLEAR,FLOODED,0.51634675
CLEAR,CLEAR,0.5173451
CLEAR,FLOODED,0.54844487
CLEAR,CLEAR,0.5690297
CLEAR,CLEAR,0.54747087
CLEAR,CLEAR,0.5147391
CLEAR,CLEAR,0.5504374
CLEAR,FLOODED,0.6100883
CLEAR,FLOODED,0.52970135
CLEAR,FLOODED,0.6043388
CLEAR,FLOODED,0.51549876
CLEAR,CLEAR,0.50750023
CLEAR,CLEAR,0.5059311
CLEAR,CLEAR,0.5572413
CLEAR,FLOODED,0.6404915
CLEAR,CLEAR,0.5315819
CLEAR,FLOODED,0.6014494
CLEAR,CLEAR,0.54021955
CLEAR,CLEAR,0.5460253
CLEAR,CLEAR,0.537234
CLEAR,CLEAR,0.52604663
CLEAR,CLEAR,0.52983123
FLOODED,CLEAR,0.55485314
CLEAR,CLEAR,0.54172605
CLEAR,CLEAR,0.59247464
CLEAR,CLEAR,0.51094174
CLEAR,CLEAR,0.56661826
CLEAR,CLEAR,0.55217534
FLOODED,CLEAR,0.54459035
CLEAR,CLEAR,0.60098416
FLOODED,FLOODED,0.5370573
CLEAR,CLEAR,0.5512518
CLEAR,FLOODED,0.6072928
CLEAR,CLEAR,0.57964706
FLOODED,CLEAR,0.5041811
CLEAR,CLEAR,0.5721829
CLEAR,FLOODED,0.50051415
FLOODED,FLOODED,0.53601235
CLEAR,FLOODED,0.5064642
CLEAR,CLEAR,0.5124436
FLOODED,FLOODED,0.50396216
FLOODED,CLEAR,0.50960034
FLOODED,CLEAR,0.52259016
CLEAR,FLOODED,0.56100297
CLEAR,CLEAR,0.54516834
FLOODED,FLOODED,0.6350272
CLEAR,CLEAR,0.5241147
CLEAR,CLEAR,0.5314501
FLOODED,FLOODED,0.5087139
CLEAR,CLEAR,0.60654634
CLEAR,CLEAR,0.514124
CLEAR,CLEAR,0.5060138
CLEAR,CLEAR,0.53048074
CLEAR,CLEAR,0.52588695
CLEAR,CLEAR,0.5699854
CLEAR,CLEAR,0.51133317
CLEAR,CLEAR,0.528475
CLEAR,CLEAR,0.5357295
CLEAR,CLEAR,0.5150731
FLOODED,CLEAR,0.6291824
CLEAR,CLEAR,0.50163424
CLEAR,CLEAR,0.51528394
CLEAR,CLEAR,0.5462817
CLEAR,CLEAR,0.73204297
CLEAR,FLOODED,0.5136
CLEAR,CLEAR,0.5990322
CLEAR,CLEAR,0.5155891
CLEAR,CLEAR,0.59446144
CLEAR,CLEAR,0.55146384
CLEAR,CLEAR,0.5464856
FLOODED,FLOODED,0.6892718
FLOODED,FLOODED,0.5843153
CLEAR,CLEAR,0.6182291
CLEAR,CLEAR,0.5524529
FLOODED,CLEAR,0.53078157
CLEAR,CLEAR,0.5355087
CLEAR,CLEAR,0.52724177
CLEAR,FLOODED,0.679107
CLEAR,CLEAR,0.53168416
FLOODED,CLEAR,0.5088004
CLEAR,CLEAR,0.5147049
FLOODED,CLEAR,0.56194097
CLEAR,CLEAR,0.61111474
CLEAR,CLEAR,0.54942536
CLEAR,CLEAR,0.550358
CLEAR,CLEAR,0.68502706
FLOODED,FLOODED,0.6009957
CLEAR,CLEAR,0.5032057
FLOODED,FLOODED,0.5630678
CLEAR,CLEAR,0.6079283
CLEAR,CLEAR,0.5629802
CLEAR,FLOODED,0.5287627
CLEAR,CLEAR,0.5022878
CLEAR,CLEAR,0.5085411
CLEAR,CLEAR,0.63789403
CLEAR,CLEAR,0.52043223
FLOODED,FLOODED,0.5272403
CLEAR,FLOODED,0.5042542
FLOODED,CLEAR,0.5325667
FLOODED,CLEAR,0.53457344
CLEAR,CLEAR,0.50061905
CLEAR,FLOODED,0.50714135
CLEAR,CLEAR,0.5438769
CLEAR,FLOODED,0.5238461
CLEAR,CLEAR,0.5416135
CLEAR,CLEAR,0.5169405
FLOODED,CLEAR,0.55956066
CLEAR,CLEAR,0.5680866
FLOODED,FLOODED,0.6695097
CLEAR,CLEAR,0.57637656
FLOODED,CLEAR,0.57950795
CLEAR,CLEAR,0.59071463
CLEAR,FLOODED,0.59470594
CLEAR,CLEAR,0.50464404
CLEAR,CLEAR,0.5337161
CLEAR,CLEAR,0.5273053
CLEAR,CLEAR,0.5808555
CLEAR,FLOODED,0.52202415
CLEAR,CLEAR,0.5388583
CLEAR,FLOODED,0.5310682
CLEAR,CLEAR,0.65318125
CLEAR,CLEAR,0.55435675
CLEAR,FLOODED,0.519149
FLOODED,CLEAR,0.5126443
CLEAR,CLEAR,0.5182397
CLEAR,CLEAR,0.5696556
CLEAR,FLOODED,0.5063044
CLEAR,CLEAR,0.5095117
CLEAR,FLOODED,0.5171421
CLEAR,CLEAR,0.5008619
CLEAR,CLEAR,0.56190574
CLEAR,FLOODED,0.5424707
CLEAR,CLEAR,0.5807144
CLEAR,CLEAR,0.5495979
CLEAR,CLEAR,0.5353568
CLEAR,CLEAR,0.5302913
CLEAR,CLEAR,0.5573974
CLEAR,CLEAR,0.50663954
CLEAR,FLOODED,0.5096253
CLEAR,FLOODED,0.5279222
CLEAR,FLOODED,0.5741406
CLEAR,CLEAR,0.5562244
CLEAR,CLEAR,0.5159765
CLEAR,CLEAR,0.55630136
CLEAR,CLEAR,0.5585861
FLOODED,CLEAR,0.50589174
CLEAR,CLEAR,0.5668757
FLOODED,FLOODED,0.5701002
CLEAR,CLEAR,0.56569356
CLEAR,FLOODED,0.5201317
FLOODED,CLEAR,0.51751816
CLEAR,CLEAR,0.51967496
CLEAR,FLOODED,0.51238406
CLEAR,CLEAR,0.60862243
FLOODED,CLEAR,0.5225419
FLOODED,FLOODED,0.70477587
CLEAR,CLEAR,0.5215489
CLEAR,CLEAR,0.53726184
CLEAR,FLOODED,0.5028507
CLEAR,CLEAR,0.5739527
CLEAR,CLEAR,0.53506815
CLEAR,FLOODED,0.5359508
CLEAR,FLOODED,0.50830865
CLEAR,CLEAR,0.588864
CLEAR,CLEAR,0.52012026
CLEAR,FLOODED,0.5280836
CLEAR,FLOODED,0.51573277
CLEAR,CLEAR,0.54737127
FLOODED,FLOODED,0.5000914
CLEAR,FLOODED,0.51916504
FLOODED,FLOODED,0.6360137
CLEAR,CLEAR,0.5060705
FLOODED,CLEAR,0.5223989
FLOODED,FLOODED,0.528686
FLOODED,CLEAR,0.50199646
CLEAR,FLOODED,0.68253624
CLEAR,CLEAR,0.557701
CLEAR,FLOODED,0.5620268
CLEAR,CLEAR,0.57009417
CLEAR,FLOODED,0.5854961
CLEAR,CLEAR,0.60149986
FLOODED,CLEAR,0.5429244
CLEAR,CLEAR,0.5584234
FLOODED,FLOODED,0.8385845
FLOODED,FLOODED,0.5540013
CLEAR,CLEAR,0.601131
CLEAR,CLEAR,0.51618457
CLEAR,CLEAR,0.558213
CLEAR,FLOODED,0.52287954
CLEAR,CLEAR,0.52580553
CLEAR,FLOODED,0.5318826
CLEAR,FLOODED,0.51295274
FLOODED,CLEAR,0.5555908
CLEAR,CLEAR,0.5848407
CLEAR,CLEAR,0.547062
FLOODED,FLOODED,0.63775873
CLEAR,CLEAR,0.5459941
CLEAR,CLEAR,0.5657883
FLOODED,FLOODED,0.5301568
CLEAR,CLEAR,0.5385363
CLEAR,CLEAR,0.5098474
CLEAR,CLEAR,0.5232533
CLEAR,CLEAR,0.5753868
FLOODED,FLOODED,0.5390722
CLEAR,CLEAR,0.55216277
FLOODED,CLEAR,0.50980026
CLEAR,CLEAR,0.5004714
FLOODED,FLOODED,0.50020057
CLEAR,CLEAR,0.5481016
FLOODED,CLEAR,0.5369365
CLEAR,CLEAR,0.50518274
CLEAR,CLEAR,0.51329255
CLEAR,CLEAR,0.50371265
CLEAR,FLOODED,0.5384565
FLOODED,FLOODED,0.5583025
CLEAR,CLEAR,0.5473422
CLEAR,FLOODED,0.5074501
CLEAR,CLEAR,0.52832806
FLOODED,FLOODED,0.5082269
FLOODED,CLEAR,0.52802247
CLEAR,FLOODED,0.51532507
FLOODED,CLEAR,0.6347212
CLEAR,FLOODED,0.50917655
FLOODED,FLOODED,0.51368564
FLOODED,CLEAR,0.567791
FLOODED,FLOODED,0.59069085
CLEAR,FLOODED,0.55684966
CLEAR,CLEAR,0.56257814
CLEAR,CLEAR,0.5483333
CLEAR,FLOODED,0.54174423
CLEAR,FLOODED,0.57586026
CLEAR,CLEAR,0.53987896
CLEAR,CLEAR,0.52839756
CLEAR,CLEAR,0.5590062
CLEAR,CLEAR,0.520888
CLEAR,FLOODED,0.57720363
CLEAR,CLEAR,0.5174867
CLEAR,FLOODED,0.5388895
CLEAR,CLEAR,0.51299196
CLEAR,FLOODED,0.5206523
FLOODED,FLOODED,0.52125
CLEAR,FLOODED,0.5987418
CLEAR,CLEAR,0.5099327
CLEAR,CLEAR,0.6094937
CLEAR,CLEAR,0.5531524
FLOODED,FLOODED,0.5400597
CLEAR,CLEAR,0.5371861
CLEAR,CLEAR,0.5575394
CLEAR,CLEAR,0.5147276
CLEAR,FLOODED,0.588583
CLEAR,FLOODED,0.56849015
CLEAR,FLOODED,0.52117443
CLEAR,FLOODED,0.5396624
CLEAR,CLEAR,0.5503012
FLOODED,CLEAR,0.5316193
CLEAR,FLOODED,0.50216293
CLEAR,CLEAR,0.5500749
CLEAR,CLEAR,0.5465709
CLEAR,FLOODED,0.538111
CLEAR,CLEAR,0.5462061
CLEAR,CLEAR,0.552997
FLOODED,CLEAR,0.53902596
FLOODED,FLOODED,0.50054055
CLEAR,CLEAR,0.54922426
FLOODED,CLEAR,0.5317216
CLEAR,CLEAR,0.53902125
CLEAR,CLEAR,0.5932994
CLEAR,CLEAR,0.5421335
FLOODED,CLEAR,0.5167503
CLEAR,FLOODED,0.6193893
CLEAR,CLEAR,0.5780743
CLEAR,FLOODED,0.53225994
CLEAR,CLEAR,0.5491096
FLOODED,FLOODED,0.5114623
CLEAR,CLEAR,0.56904995
CLEAR,FLOODED,0.50443983
CLEAR,CLEAR,0.54462725
CLEAR,CLEAR,0.5180014
CLEAR,CLEAR,0.5092317
CLEAR,FLOODED,0.5070245
CLEAR,CLEAR,0.5292172
FLOODED,CLEAR,0.5388929
CLEAR,FLOODED,0.5087483
CLEAR,CLEAR,0.57092154
CLEAR,CLEAR,0.50577766
CLEAR,FLOODED,0.5134596
CLEAR,CLEAR,0.5293905
CLEAR,CLEAR,0.515216
CLEAR,FLOODED,0.50105596
FLOODED,CLEAR,0.508946
CLEAR,FLOODED,0.51180637
CLEAR,FLOODED,0.59962904
CLEAR,CLEAR,0.6983364
CLEAR,FLOODED,0.5525157
CLEAR,CLEAR,0.5097989
CLEAR,FLOODED,0.5860223
FLOODED,FLOODED,0.5917546
FLOODED,FLOODED,0.51435226
CLEAR,CLEAR,0.55782884
CLEAR,CLEAR,0.5221837
CLEAR,CLEAR,0.54858834
CLEAR,CLEAR,0.56676143
CLEAR,CLEAR,0.5421156
CLEAR,CLEAR,0.57120514
CLEAR,CLEAR,0.52535504
CLEAR,CLEAR,0.56011945
FLOODED,CLEAR,0.5441056
CLEAR,CLEAR,0.54414004
FLOODED,CLEAR,0.5321105
CLEAR,CLEAR,0.57577085
CLEAR,FLOODED,0.54885656
FLOODED,CLEAR,0.5327275
FLOODED,FLOODED,0.53200567
CLEAR,FLOODED,0.5121003
CLEAR,CLEAR,0.5778053
CLEAR,CLEAR,0.509272
CLEAR,FLOODED,0.50401574
CLEAR,FLOODED,0.5490261
CLEAR,CLEAR,0.56212556
FLOODED,CLEAR,0.54275244
CLEAR,FLOODED,0.5388275
FLOODED,CLEAR,0.50721014
CLEAR,CLEAR,0.5277023
CLEAR,CLEAR,0.53279364
CLEAR,FLOODED,0.5389306
CLEAR,CLEAR,0.5696847
CLEAR,CLEAR,0.57557386
CLEAR,CLEAR,0.53526634
FLOODED,FLOODED,0.53890276
CLEAR,CLEAR,0.56570286
FLOODED,FLOODED,0.7011247
CLEAR,CLEAR,0.6010035
CLEAR,CLEAR,0.53204334
CLEAR,CLEAR,0.5648322
FLOODED,CLEAR,0.55060744
CLEAR,CLEAR,0.7467256
CLEAR,CLEAR,0.5287879
CLEAR,FLOODED,0.53683394
FLOODED,CLEAR,0.5291125
CLEAR,CLEAR,0.5167149
CLEAR,CLEAR,0.5475769
CLEAR,CLEAR,0.5095947
CLEAR,CLEAR,0.51764715
CLEAR,FLOODED,0.51163924
CLEAR,FLOODED,0.519701
CLEAR,CLEAR,0.5531305
CLEAR,CLEAR,0.5784986
FLOODED,CLEAR,0.52671856
CLEAR,CLEAR,0.5379628
CLEAR,CLEAR,0.532302
CLEAR,CLEAR,0.55188566
CLEAR,FLOODED,0.518384
CLEAR,CLEAR,0.52972233
CLEAR,FLOODED,0.5127199
CLEAR,CLEAR,0.52366656
CLEAR,FLOODED,0.5698056
CLEAR,CLEAR,0.5336136
CLEAR,CLEAR,0.53515124
CLEAR,FLOODED,0.5144146
CLEAR,FLOODED,0.54258865
FLOODED,CLEAR,0.5239235
FLOODED,CLEAR,0.52487016
CLEAR,CLEAR,0.5578305
FLOODED,CLEAR,0.54766685
CLEAR,CLEAR,0.5402987
CLEAR,CLEAR,0.53803605
FLOODED,CLEAR,0.5782181
CLEAR,CLEAR,0.5348201
FLOODED,FLOODED,0.6635318
CLEAR,CLEAR,0.5503414
CLEAR,CLEAR,0.5303617
CLEAR,CLEAR,0.5180268
CLEAR,CLEAR,0.58083874
FLOODED,FLOODED,0.50002676
CLEAR,FLOODED,0.57651347
CLEAR,CLEAR,0.5452606
CLEAR,CLEAR,0.5618798
CLEAR,CLEAR,0.5169225
CLEAR,CLEAR,0.5105566
CLEAR,CLEAR,0.51785254
CLEAR,CLEAR,0.536581
CLEAR,FLOODED,0.56838876
CLEAR,CLEAR,0.54182005
CLEAR,CLEAR,0.5339162
FLOODED,CLEAR,0.609919
CLEAR,FLOODED,0.5228571
FLOODED,CLEAR,0.5326934
CLEAR,CLEAR,0.54455876
FLOODED,CLEAR,0.5079655
CLEAR,CLEAR,0.5560729
FLOODED,CLEAR,0.50623703
CLEAR,CLEAR,0.5465499
FLOODED,CLEAR,0.55018747
CLEAR,CLEAR,0.59912807
CLEAR,FLOODED,0.53075296
CLEAR,FLOODED,0.5363376
CLEAR,FLOODED,0.50728995
CLEAR,CLEAR,0.5232329
CLEAR,CLEAR,0.59706247
CLEAR,CLEAR,0.5647174
CLEAR,CLEAR,0.54537874
CLEAR,CLEAR,0.51844114
CLEAR,CLEAR,0.5007388
CLEAR,CLEAR,0.5338989
CLEAR,CLEAR,0.5231211
CLEAR,FLOODED,0.5242298
CLEAR,CLEAR,0.5011038
CLEAR,CLEAR,0.502356
CLEAR,CLEAR,0.55172753
CLEAR,FLOODED,0.6475255
CLEAR,CLEAR,0.5767282
CLEAR,CLEAR,0.59229416
FLOODED,FLOODED,0.52253693
CLEAR,CLEAR,0.557663
CLEAR,CLEAR,0.557914
FLOODED,FLOODED,0.51237226
CLEAR,FLOODED,0.5335695
CLEAR,CLEAR,0.53079504
CLEAR,FLOODED,0.5996227
FLOODED,CLEAR,0.50832963
FLOODED,FLOODED,0.5284958
CLEAR,CLEAR,0.5030866
CLEAR,CLEAR,0.58059126
CLEAR,CLEAR,0.5187145
